22740	23	0	0	23
2569	24	8	0	16
18605	16	0	0	16
3851	59	0	0	59
19477	2	0	0	2
1703	340	1	2	337
12450	77	0	0	77
17254	43	0	0	43
3390	54	1	0	53
3234	37	3	0	34
311	539	3	2	533
3108	9	0	0	9
1986	5	1	0	4
19123	26	0	0	26
359	304	0	12	292
655	18	8	2	8
3118	71	0	0	71
133	112	43	51	18
324	841	85	243	514
23870	1	0	0	1
325	2567	470	916	1180
1245	324	9	3	312
17294	20	0	0	20
932	418	8	2	408
19164	3	0	0	3
32914	1	0	0	1
9065	28	1	0	27
390	264	2	5	256
474	314	9	15	290
348	247	1	9	237
15452	27	0	1	26
4142	232	1	1	230
33276	6	0	1	5
427	259	0	11	248
17269	33	0	0	33
608	60	0	0	60
1071	110	0	0	110
10611	89	0	0	89
826	235	12	7	216
16017	82	0	0	82
4802	1	0	0	1
968	69	1	0	68
21253	6	0	0	6
203	7540	2322	3302	1914
23349	11	0	0	11
10207	12	0	0	12
429	97	7	9	81
874	517	2	13	502
772	869	52	3	83
20786	0	0	0	0
1461	25	0	0	25
1918	65	0	1	64
892	9	0	0	9
9791	95	0	0	95
10004	95	0	0	95
1794	2	0	0	2
10642	31	0	0	31
21396	1	0	0	1
2879	13	0	0	13
3433	237	13	1	223
19579	2	1	0	1
14437	10	1	0	9
34608	3	0	0	3
182	1435	13	41	1375
